"site_id","release_date","pit_tag_id","type"
"10277",2013-09-04,"900118001027559","reintroduction"
"10277",2013-09-04,"900118001028276","reintroduction"
"10277",2013-09-04,"900118001028285","reintroduction"
"10277",2013-09-04,"900118001028355","reintroduction"
"10277",2013-09-04,"900118001028589","reintroduction"
"10277",2013-09-04,"900118001028720","reintroduction"
"10277",2013-09-04,"900118001028762","reintroduction"
"10277",2013-09-04,"900118001028814","reintroduction"
"10277",2013-09-04,"900118001028909","reintroduction"
"10277",2013-09-04,"900118001028916","reintroduction"
"10277",2013-09-04,"900118001029000","reintroduction"
"10277",2013-09-04,"900118001029027","reintroduction"
"10277",2013-09-04,"900118001029166","reintroduction"
"10277",2013-09-04,"900118001029257","reintroduction"
"10277",2013-09-04,"900118001029394","reintroduction"
"10277",2013-09-04,"900118001029487","reintroduction"
"10277",2013-09-04,"900118001029644","reintroduction"
"10277",2013-09-04,"900118001029714","reintroduction"
"10277",2013-09-04,"900118001029733","reintroduction"
"10277",2013-09-04,"900118001030021","reintroduction"
"10277",2013-09-04,"900118001030145","reintroduction"
"10277",2013-09-04,"900118001030565","reintroduction"
"10277",2013-09-04,"900118001030581","reintroduction"
"10277",2013-09-04,"900118001030620","reintroduction"
"10277",2013-09-04,"900118001030653","reintroduction"
"10277",2013-09-04,"900118001031405","reintroduction"
"10277",2013-09-04,"900118001057995","reintroduction"
"10277",2013-09-04,"900118001058268","reintroduction"
"10277",2013-09-04,"900118001058396","reintroduction"
"10277",2013-09-04,"900118001059268","reintroduction"
"10277",2013-09-04,"900118001060671","reintroduction"
"10277",2013-09-04,"985121013702689","reintroduction"
