basin_name,survey_date,primary_period,secondary_period
rangersta_pond,2016-07-18,1,0
rangersta_pond,2016-08-14,2,1
rangersta_pond,2016-08-15,2,2
rangersta_pond,2016-08-16,2,3
rangersta_pond,2016-08-17,2,4
rangersta_pond,2016-09-06,3,1
rangersta_pond,2016-09-07,3,2
rangersta_pond,2016-09-08,3,3
rangersta_pond,2017-08-08,4,1
rangersta_pond,2017-08-09,4,2
rangersta_pond,2017-08-10,4,3
rangersta_pond,2017-08-15,5,0
rangersta_pond,2017-09-08,6,1
rangersta_pond,2017-09-09,6,2
rangersta_pond,2017-09-10,6,3
rangersta_pond,2018-06-28,7,1
rangersta_pond,2018-06-29,7,2
rangersta_pond,2018-06-30,7,3
rangersta_pond,2018-09-03,8,1
rangersta_pond,2018-09-04,8,2
rangersta_pond,2018-09-05,8,3
rangersta_pond,2019-08-19,9,1
rangersta_pond,2019-08-20,9,2
rangersta_pond,2019-08-21,9,3
